,0
"{X9=1,X10=4} => {target=A}",0.034384889053899824
"{X1=5,X8=2} => {target=A}",0.03428010402175274
"{X4=2,X12=3} => {target=A}",0.16040388793874524
"{X11=2,X14=5} => {target=A}",0.034751603223705387
{X12=2} => {target=A},0.03448966983935367
"{X3=5,X9=4} => {target=A}",0.03276024383346819
"{X5=5,X14=3} => {target=A}",0.03045254401770392
"{X8=1,X9=4} => {target=A}",0.03401812286210216
"{X3=2,X11=4} => {target=A}",0.03585143360116957
"{X2=4,X14=1} => {target=A}",0.03333684763123361
"{X1=4,X15=5} => {target=A}",0.03459444637811428
"{X9=1,X13=1} => {target=A}",0.033860921426232114
"{X3=3,X10=5} => {target=A}",0.03464683305498462
"{X4=1,X13=5} => {target=A}",0.1566181265436667
"{X4=3,X13=5} => {target=A}",0.1513277447498024
"{X8=1,X10=2} => {target=A}",0.15960739514296915
"{X4=1,X14=5} => {target=A}",0.03417531474291243
"{X2=5,X11=2} => {target=A}",0.03469921867018166
"{X11=4,X15=1} => {target=A}",0.03443727997746338
"{X13=5,X15=1} => {target=A}",0.034751603223705387
"{X11=3,X15=1} => {target=A}",0.03391332296652877
"{X5=1,X7=5} => {target=A}",0.03276024383346819
"{X1=5,X7=1} => {target=A}",0.0336513046483124
"{X11=3,X13=2} => {target=A}",0.03391332296652877
"{X11=4,X14=2} => {target=A}",0.03464683305498462
"{X11=2,X13=5} => {target=A}",0.03338925978826335
"{X4=2,X12=2} => {target=A}",0.034384889053899824
"{X5=4,X15=5} => {target=A}",0.031082120536005665
"{X2=1,X14=3} => {target=A}",0.03359889779964922
"{X5=3,X7=3} => {target=A}",0.034908750514236725
"{X3=2,X8=1} => {target=A}",0.03380851882426214
"{X1=5,X11=3} => {target=A}",0.03370371043530229
"{X2=4,X5=4} => {target=A}",0.03359889779964922
"{X4=5,X7=4} => {target=A}",0.03496113082106723
"{X10=3,X13=2} => {target=A}",0.15377478122468402
"{X1=1,X7=4} => {target=A}",0.034227709913169244
"{X5=5,X15=5} => {target=A}",0.034332497068662926
"{X3=4,X5=1} => {target=A}",0.03417531474291243
"{X6=1,X10=2} => {target=A}",0.15686737824035507
"{X9=5,X11=2} => {target=A}",0.03417531474291243
"{X5=1,X12=1} => {target=A}",0.03391332296652877
"{X6=2,X13=2} => {target=A}",0.680971834363988
"{X7=3,X10=5} => {target=A}",0.034332497068662926
{X12=5} => {target=A},0.0336513046483124
"{X2=4,X3=2} => {target=A}",0.034384889053899824
"{X9=4,X11=4} => {target=A}",0.03370371043530229
{X15=2} => {target=A},0.03522301643012009
"{X11=3,X15=5} => {target=A}",0.03317960479010456
"{X9=3,X12=2} => {target=A}",0.03333684763123361
"{X3=5,X14=4} => {target=A}",0.03417531474291243
"{X5=2,X12=3} => {target=A}",0.03359889779964922
"{X5=2,X15=4} => {target=A}",0.03469921867018166
"{X2=1,X13=2} => {target=A}",0.0336513046483124
"{X6=1,X9=3} => {target=A}",0.032655392977576025
"{X5=2,X8=1} => {target=A}",0.035903794797880514
"{X7=5,X11=4} => {target=A}",0.03249810873118796
"{X4=1,X12=3} => {target=A}",0.03307477092098531
"{X10=5,X14=4} => {target=A}",0.03380851882426214
"{X8=5,X12=4} => {target=A}",0.029560382247639374
"{X3=4,X9=1} => {target=A}",0.034384889053899824
"{X8=1,X10=3} => {target=A}",0.035170641431656144
"{X4=3,X10=3} => {target=A}",0.03338925978826335
"{X1=1,X11=4} => {target=A}",0.036636740076136556
"{X2=1,X3=2} => {target=A}",0.03443727997746338
"{X8=4,X10=5} => {target=A}",0.032183511573232515
"{X5=2,X8=3} => {target=A}",0.03469921867018166
"{X7=3,X14=3} => {target=A}",0.034122918510982314
"{X10=5,X15=1} => {target=A}",0.03564197819759267
"{X8=5,X10=4} => {target=A}",0.034908750514236725
"{X1=3,X4=2} => {target=A}",0.15582034275314813
"{X8=5,X12=2} => {target=A}",0.034227709913169244
"{X9=4,X11=3} => {target=A}",0.15357511869569956
"{X1=5,X12=3} => {target=A}",0.03323202013215422
"{X1=4,X3=4} => {target=A}",0.034908750514236725
"{X2=1,X14=5} => {target=A}",0.03333684763123361
"{X2=1,X10=3} => {target=A}",0.16015501313608116
"{X5=1,X7=1} => {target=A}",0.03464683305498462
"{X2=3,X4=2} => {target=A}",0.15886043630788496
"{X4=3,X10=5} => {target=A}",0.03396572344515211
"{X1=5,X4=1} => {target=A}",0.034122918510982314
"{X8=1,X9=2} => {target=A}",0.034122918510982314
"{X6=1,X15=4} => {target=A}",0.03401812286210216
"{X6=2,X8=5} => {target=A}",0.15696707148731726
"{X4=2,X15=5} => {target=A}",0.03302235239391573
"{X3=3,X10=3} => {target=A}",0.03448966983935367
"{X2=1,X7=5} => {target=A}",0.035537244125764374
"{X1=2,X2=1} => {target=A}",0.034542058639570626
"{X4=2,X14=2} => {target=A}",0.034070521217378885
"{X12=4,X13=5} => {target=A}",0.15646856278557397
"{X11=4,X13=1} => {target=A}",0.034122918510982314
"{X1=5,X12=5} => {target=A}",0.034070521217378885
"{X6=1,X9=4} => {target=A}",0.035013510066224426
"{X3=3,X11=4} => {target=A}",0.034542058639570626
"{X1=3,X2=4} => {target=A}",0.03496113082106723
"{X8=5,X9=5} => {target=A}",0.03291751215475664
"{X7=5,X10=5} => {target=A}",0.03428010402175274
"{X6=3,X9=1} => {target=A}",0.034384889053899824
"{X4=2,X8=4} => {target=A}",0.03464683305498462
"{X10=3,X11=2} => {target=A}",0.03459444637811428
"{X2=4,X10=1} => {target=A}",0.033860921426232114
"{X4=1,X11=2} => {target=A}",0.033756115160618876
"{X10=5,X13=1} => {target=A}",0.032812667668904325
"{X3=1,X13=2} => {target=A}",0.03443727997746338
"{X8=5,X11=3} => {target=A}",0.033546489889312706
"{X11=2,X14=2} => {target=A}",0.034384889053899824
"{X2=5,X3=5} => {target=A}",0.032865090442667125
"{X12=2,X13=1} => {target=A}",0.03317960479010456
"{X2=1,X14=4} => {target=A}",0.15801359418631647
"{X1=2,X12=2} => {target=A}",0.034122918510982314
"{X9=1,X13=2} => {target=A}",0.034227709913169244
"{X4=1,X13=4} => {target=A}",0.033756115160618876
"{X2=2,X5=2} => {target=A}",0.0336513046483124
"{X7=3,X12=2} => {target=A}",0.15985632833766514
"{X5=2,X13=2} => {target=A}",0.03338925978826335
"{X2=1,X6=4} => {target=A}",0.03585143360116957
"{X6=1,X15=2} => {target=A}",0.03333684763123361
"{X8=1,X11=5} => {target=A}",0.03380851882426214
"{X1=5,X2=5} => {target=A}",0.035013510066224426
{X7=3} => {target=A},0.03417531474291243
"{X1=5,X9=5} => {target=A}",0.1569172253946728
"{X8=4,X11=2} => {target=A}",0.03359889779964922
"{X8=1,X10=5} => {target=A}",0.034122918510982314
"{X11=3,X13=3} => {target=A}",0.15577047224201762
"{X4=4,X10=3} => {target=A}",0.03511826537151886
"{X4=2,X11=3} => {target=A}",0.032183511573232515
"{X3=1,X15=5} => {target=A}",0.033860921426232114
"{X5=2,X7=4} => {target=A}",0.03448966983935367
{X5=5} => {target=A},0.03459444637811428
"{X7=4,X8=5} => {target=A}",0.03176398924225335
{X9=5} => {target=A},0.034751603223705387
"{X7=1,X14=3} => {target=A}",0.03428010402175274
"{X3=3,X11=3} => {target=A}",0.034856369145732924
"{X7=4,X9=3} => {target=A}",0.03511826537151886
"{X12=5,X15=5} => {target=A}",0.03527539036691075
"{X8=5,X14=4} => {target=A}",0.6769282047316538
"{X3=2,X5=1} => {target=A}",0.035537244125764374
"{X8=1,X11=3} => {target=A}",0.034384889053899824
"{X7=5,X9=1} => {target=A}",0.035537244125764374
"{X11=4,X15=3} => {target=A}",0.034070521217378885
"{X9=5,X10=3} => {target=A}",0.032550537874990626
"{X2=1,X8=4} => {target=A}",0.15736580200823372
{X2=5} => {target=A},0.03307477092098531
"{X8=5,X9=3} => {target=A}",0.03401812286210216
"{X3=4,X4=1} => {target=A}",0.03396572344515211
"{X2=4,X7=5} => {target=A}",0.03396572344515211
"{X10=5,X14=5} => {target=A}",0.03511826537151886
{X7=5} => {target=A},0.03448966983935367
"{X5=1,X8=5} => {target=A}",0.034070521217378885
"{X8=4,X12=2} => {target=A}",0.03464683305498462
"{X8=2,X12=2} => {target=A}",0.034542058639570626
"{X2=4,X15=3} => {target=A}",0.03464683305498462
"{X4=4,X11=4} => {target=A}",0.03302235239391573
"{X7=3,X14=5} => {target=A}",0.16174735323026215
"{X8=1,X12=4} => {target=A}",0.033494080917302896
"{X4=2,X10=2} => {target=A}",0.03511826537151886
"{X7=4,X11=3} => {target=A}",0.034856369145732924
"{X1=5,X14=4} => {target=A}",0.03417531474291243
"{X5=2,X10=3} => {target=A}",0.033441670883619774
"{X4=1,X15=4} => {target=A}",0.033494080917302896
"{X2=1,X11=4} => {target=A}",0.035013510066224426
"{X12=2,X14=1} => {target=A}",0.034227709913169244
"{X12=5,X13=5} => {target=A}",0.034122918510982314
"{X11=4,X13=5} => {target=A}",0.03469921867018166
"{X10=5,X13=4} => {target=A}",0.03249810873118796
"{X10=2,X15=5} => {target=A}",0.03144930290374004
"{X5=1,X12=5} => {target=A}",0.15891024099527037
"{X1=3,X13=2} => {target=A}",0.03511826537151886
"{X5=1,X10=3} => {target=A}",0.0336513046483124
"{X3=3,X8=1} => {target=A}",0.6836729005962805
"{X7=3,X15=2} => {target=A}",0.03417531474291243
"{X2=4,X8=3} => {target=A}",0.034227709913169244
"{X4=5,X8=1} => {target=A}",0.033860921426232114
"{X5=2,X14=5} => {target=A}",0.034227709913169244
{X6=4} => {target=A},0.15886043630788496
"{X4=1,X8=5} => {target=A}",0.1587110158756888
"{X3=5,X9=2} => {target=A}",0.035013510066224426
"{X11=3,X14=4} => {target=A}",0.032550537874990626
"{X7=3,X9=5} => {target=A}",0.15905964868738687
"{X2=4,X11=3} => {target=A}",0.03448966983935367
"{X5=1,X11=5} => {target=A}",0.15751530843596784
"{X4=4,X12=2} => {target=A}",0.03496113082106723
"{X6=1,X10=3} => {target=A}",0.03333684763123361
"{X1=5,X3=5} => {target=A}",0.03396572344515211
"{X4=5,X10=3} => {target=A}",0.03459444637811428
"{X4=4,X10=5} => {target=A}",0.03522301643012009
"{X10=2,X13=5} => {target=A}",0.03338925978826335
"{X4=3,X11=2} => {target=A}",0.03511826537151886
"{X3=4,X7=4} => {target=A}",0.03480398671555581
"{X7=3,X9=4} => {target=A}",0.03428010402175274
"{X9=2,X12=2} => {target=A}",0.033494080917302896
"{X3=5,X14=3} => {target=A}",0.033756115160618876
"{X5=1,X6=1} => {target=A}",0.03296993280517284
"{X2=3,X9=1} => {target=A}",0.03469921867018166
"{X5=4,X8=5} => {target=A}",0.035432505807242845
"{X4=1,X11=1} => {target=A}",0.1618965793762429
"{X4=2,X14=3} => {target=A}",0.03296993280517284
"{X2=4,X5=3} => {target=A}",0.03391332296652877
"{X1=5,X8=5} => {target=A}",0.03396572344515211
"{X4=5,X5=1} => {target=A}",0.034856369145732924
"{X1=5,X3=4} => {target=A}",0.03464683305498462
"{X2=1,X13=4} => {target=A}",0.03338925978826335
"{X11=2,X13=4} => {target=A}",0.034122918510982314
"{X11=2,X12=1} => {target=A}",0.036427348372958135
"{X6=5,X13=5} => {target=A}",0.034856369145732924
"{X7=3,X14=1} => {target=A}",0.033860921426232114
"{X2=4,X13=4} => {target=A}",0.032865090442667125
"{X5=1,X14=1} => {target=A}",0.03448966983935367
"{X2=2,X12=2} => {target=A}",0.033756115160618876
"{X2=1,X4=1} => {target=A}",0.1579139455296332
"{X6=2,X13=5} => {target=A}",0.034751603223705387
"{X8=1,X9=3} => {target=A}",0.035484875497340265
"{X2=4,X8=4} => {target=A}",0.032812667668904325
"{X11=5,X14=3} => {target=A}",0.03380851882426214
"{X7=4,X13=4} => {target=A}",0.03276024383346819
"{X7=2,X15=5} => {target=A}",0.03448966983935367
"{X10=3,X12=4} => {target=A}",0.03202619866166514
{X1=3} => {target=A},0.034332497068662926
"{X8=5,X14=1} => {target=A}",0.033441670883619774
"{X2=2,X9=1} => {target=A}",0.03443727997746338
"{X6=2,X7=3} => {target=A}",0.03312718838638159
"{X1=1,X7=3} => {target=A}",0.03496113082106723
"{X1=5,X12=1} => {target=A}",0.03469921867018166
"{X4=4,X11=2} => {target=A}",0.03527539036691075
"{X10=3,X15=2} => {target=A}",0.03459444637811428
"{X1=4,X7=3} => {target=A}",0.16234420048382675
"{X6=1,X13=3} => {target=A}",0.03176398924225335
"{X4=1,X9=2} => {target=A}",0.03522301643012009
"{X7=5,X12=2} => {target=A}",0.03338925978826335
"{X4=2,X13=2} => {target=A}",0.03443727997746338
"{X3=2,X13=5} => {target=A}",0.03538013505547212
"{X1=5,X9=1} => {target=A}",0.03522301643012009
"{X2=5,X15=5} => {target=A}",0.03317960479010456
"{X1=5,X6=1} => {target=A}",0.03459444637811428
"{X3=4,X10=5} => {target=A}",0.03668908534774788
"{X6=3,X13=2} => {target=A}",0.03428010402175274
"{X2=2,X5=1} => {target=A}",0.03464683305498462
"{X1=5,X10=2} => {target=A}",0.6774482760182814
"{X8=2,X15=5} => {target=A}",0.033441670883619774
"{X9=1,X10=2} => {target=A}",0.16015501313608116
"{X3=2,X6=1} => {target=A}",0.03459444637811428
"{X1=5,X15=4} => {target=A}",0.0350658882497083
"{X1=1,X8=1} => {target=A}",0.03338925978826335
"{X4=1,X6=4} => {target=A}",0.033494080917302896
"{X5=3,X6=1} => {target=A}",0.03291751215475664
"{X6=1,X8=1} => {target=A}",0.032812667668904325
"{X5=1,X15=1} => {target=A}",0.03469921867018166
"{X10=1,X11=3} => {target=A}",0.033756115160618876
"{X3=2,X4=1} => {target=A}",0.034542058639570626
{X12=1} => {target=A},0.034908750514236725
"{X1=3,X10=3} => {target=A}",0.03270781893635876
"{X8=4,X10=3} => {target=A}",0.03338925978826335
"{X7=5,X13=5} => {target=A}",0.03448966983935367
"{X10=3,X15=5} => {target=A}",0.15995589418383038
"{X1=5,X3=1} => {target=A}",0.03564197819759267
"{X8=5,X13=5} => {target=A}",0.03496113082106723
"{X6=5,X11=4} => {target=A}",0.03333684763123361
"{X2=4,X10=3} => {target=A}",0.035013510066224426
"{X2=4,X5=5} => {target=A}",0.032445678525711986
"{X5=4,X10=3} => {target=A}",0.03380851882426214
"{X5=3,X7=4} => {target=A}",0.03443727997746338
"{X8=4,X13=2} => {target=A}",0.035170641431656144
"{X4=2,X9=1} => {target=A}",0.034332497068662926
"{X7=4,X11=5} => {target=A}",0.034122918510982314
"{X9=2,X11=4} => {target=A}",0.036427348372958135
"{X3=5,X6=5} => {target=A}",0.0350658882497083
"{X2=4,X8=5} => {target=A}",0.15766480530864213
"{X13=5,X14=1} => {target=A}",0.16025456624216677
{X5=2} => {target=A},0.034856369145732924
"{X7=2,X8=5} => {target=A}",0.034332497068662926
"{X5=5,X7=4} => {target=A}",0.035694343640996856
"{X2=4,X15=2} => {target=A}",0.0336513046483124
"{X2=4,X6=1} => {target=A}",0.03511826537151886
"{X2=1,X5=5} => {target=A}",0.033756115160618876
"{X13=5,X15=3} => {target=A}",0.035799071342785316
"{X5=1,X14=2} => {target=A}",0.03391332296652877
"{X6=1,X7=1} => {target=A}",0.03359889779964922
"{X7=4,X9=2} => {target=A}",0.034384889053899824
"{X5=1,X13=2} => {target=A}",0.033860921426232114
"{X7=5,X11=2} => {target=A}",0.03585143360116957
"{X5=1,X8=4} => {target=A}",0.03391332296652877
"{X8=1,X10=4} => {target=A}",0.15756514178853256
"{X9=1,X14=1} => {target=A}",0.035432505807242845
"{X11=3,X14=3} => {target=A}",0.15671783040736195
{X3=5} => {target=A},0.03391332296652877
"{X3=5,X11=1} => {target=A}",0.034070521217378885
"{X7=4,X14=1} => {target=A}",0.034384889053899824
"{X6=3,X10=5} => {target=A}",0.03448966983935367
"{X12=5,X14=3} => {target=A}",0.03296993280517284
"{X4=2,X6=5} => {target=A}",0.03417531474291243
{X2=3} => {target=A},0.034227709913169244
"{X2=1,X4=2} => {target=A}",0.03417531474291243
"{X6=2,X10=3} => {target=A}",0.6785991219215387
"{X12=4,X13=2} => {target=A}",0.03595615493291817
"{X8=1,X14=4} => {target=A}",0.03249810873118796
"{X7=3,X14=4} => {target=A}",0.03459444637811428
"{X1=1,X4=2} => {target=A}",0.15676768074669964
"{X7=4,X12=4} => {target=A}",0.15886043630788496
"{X7=3,X12=3} => {target=A}",0.03417531474291243
"{X3=1,X5=1} => {target=A}",0.032131074997716697
"{X10=2,X11=3} => {target=A}",0.16000567551440306
"{X4=5,X6=1} => {target=A}",0.033860921426232114
"{X7=5,X15=5} => {target=A}",0.15671783040736195
"{X10=3,X15=1} => {target=A}",0.03401812286210216
"{X2=1,X12=3} => {target=A}",0.03359889779964922
"{X8=1,X12=5} => {target=A}",0.03480398671555581
"{X8=2,X14=3} => {target=A}",0.03496113082106723
"{X9=2,X14=3} => {target=A}",0.0336513046483124
"{X12=1,X13=5} => {target=A}",0.15582034275314813
"{X6=2,X8=1} => {target=A}",0.034332497068662926
"{X4=1,X5=3} => {target=A}",0.034122918510982314
"{X3=5,X4=5} => {target=A}",0.03391332296652877
{X9=3} => {target=A},0.034227709913169244
"{X2=1,X5=4} => {target=A}",0.035537244125764374
"{X3=4,X14=3} => {target=A}",0.03328443441253057
"{X3=1,X7=3} => {target=A}",0.03448966983935367
"{X2=4,X14=3} => {target=A}",0.6798230948205737
"{X4=3,X8=5} => {target=A}",0.03370371043530229
"{X4=2,X14=5} => {target=A}",0.035799071342785316
"{X14=5,X15=5} => {target=A}",0.03417531474291243
"{X2=5,X7=3} => {target=A}",0.032550537874990626
"{X8=5,X15=4} => {target=A}",0.03511826537151886
"{X2=4,X11=5} => {target=A}",0.03428010402175274
"{X2=1,X13=1} => {target=A}",0.03448966983935367
"{X2=1,X4=5} => {target=A}",0.03307477092098531
"{X9=2,X10=5} => {target=A}",0.033546489889312706
"{X6=4,X8=1} => {target=A}",0.033860921426232114
"{X2=5,X4=1} => {target=A}",0.034384889053899824
"{X2=3,X7=3} => {target=A}",0.034542058639570626
"{X10=3,X11=4} => {target=A}",0.03443727997746338
"{X11=1,X13=5} => {target=A}",0.03511826537151886
"{X13=3,X15=5} => {target=A}",0.03459444637811428
"{X2=4,X5=2} => {target=A}",0.03448966983935367
"{X6=3,X8=5} => {target=A}",0.15686737824035507
"{X5=2,X9=3} => {target=A}",0.03291751215475664
"{X10=5,X14=1} => {target=A}",0.034542058639570626
"{X9=1,X11=2} => {target=A}",0.1584121463461172
"{X1=5,X13=5} => {target=A}",0.03307477092098531
"{X4=3,X14=3} => {target=A}",0.032812667668904325
"{X6=1,X11=1} => {target=A}",0.03296993280517284
{X5=3} => {target=A},0.03443727997746338
"{X1=3,X15=5} => {target=A}",0.03307477092098531
"{X9=2,X11=2} => {target=A}",0.034227709913169244
"{X7=3,X10=2} => {target=A}",0.03511826537151886
"{X2=2,X6=1} => {target=A}",0.035170641431656144
"{X2=1,X8=1} => {target=A}",0.034070521217378885
"{X12=2,X15=1} => {target=A}",0.034542058639570626
"{X2=1,X8=2} => {target=A}",0.03428010402175274
"{X9=2,X11=3} => {target=A}",0.0336513046483124
"{X11=2,X15=1} => {target=A}",0.03464683305498462
"{X5=1,X15=2} => {target=A}",0.03469921867018166
"{X1=5,X14=3} => {target=A}",0.03359889779964922
"{X7=3,X15=3} => {target=A}",0.033441670883619774
"{X2=4,X6=4} => {target=A}",0.15736580200823372
"{X3=5,X8=2} => {target=A}",0.0350658882497083
"{X4=2,X5=1} => {target=A}",0.034070521217378885
"{X7=4,X11=1} => {target=A}",0.0350658882497083
"{X8=1,X14=5} => {target=A}",0.03480398671555581
"{X5=2,X6=2} => {target=A}",0.03396572344515211
"{X7=3,X11=1} => {target=A}",0.0336513046483124
{X8=5} => {target=A},0.155471226880095
"{X9=4,X10=3} => {target=A}",0.03511826537151886
"{X2=4,X7=4} => {target=A}",0.03480398671555581
"{X2=1,X9=1} => {target=A}",0.16060296867075696
"{X1=2,X8=5} => {target=A}",0.03459444637811428
"{X1=2,X15=5} => {target=A}",0.034542058639570626
"{X1=2,X8=1} => {target=A}",0.15920904682444353
"{X14=3,X15=3} => {target=A}",0.032655392977576025
"{X10=3,X15=3} => {target=A}",0.035432505807242845
"{X11=1,X14=3} => {target=A}",0.03496113082106723
"{X1=4,X10=3} => {target=A}",0.0336513046483124
"{X3=5,X8=3} => {target=A}",0.03359889779964922
"{X5=1,X9=3} => {target=A}",0.034332497068662926
"{X1=4,X4=2} => {target=A}",0.033860921426232114
